"AISID";"USRCHONumber";"ObjectNameOnDoc";"EnsembleNameOnDoc";"SecurityStatus";"Category";"ObjectType";"global_id";
"Идентификатор в АИС Мосгорнаследия";"Номер ЕГРОКН";"Наименование объекта по документам";"Наименование ансамбля по документам";"Охранный статус";"Категория объекта";"Вид объекта недвижимости";"global_id";
"a70bba3e-ff9d-11e4-b126-005056806bb6";"772241374630006";"""Курганы Марьино–Филимонки"", XII–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2606929494";
"abed859e-56f9-11e2-965f-005056806bb6";"771440677840006";"Матвеевское селище, XII-XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608406604";
"01a9eeb8-32ea-11e6-b786-005056806bb6";"";"Селище Аксиньино 4 (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407405";
"029d59f6-1e2b-11e8-9e37-005056806bb6";"";"Селище ""Дьяково-1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407406";
"058e5ecc-faf9-11e5-bb62-005056806bb6";"";"Поселение 1 , XII-XIV вв. (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407407";
"064bae6b-d57b-11e5-87bd-005056806bb6";"";"Селище Батыбино-5 (XV-XVI вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407408";
"082dbe1b-4795-11e8-ac6f-005056806bb6";"";"Городище Клоково";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407409";
"124572d2-9caf-11e8-a167-005056806bb6";"";"Культурный слой усадьбы Измалково (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407410";
"146eb41d-3eb8-11e7-a3bd-005056806bb6";"";"Селище ""Дмитровка 1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407411";
"14dc4dab-d3ee-11e5-87bd-005056806bb6";"";"Селище Сатино-Русское-6 (XV-XVI вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407412";
"16891f4f-d57d-11e5-87bd-005056806bb6";"772341375350006";"""Курганный могильник Ерино 3"", XII–ХIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407413";
"1743c801-33d6-11e6-b786-005056806bb6";"772241362880006";"""Курганный могильник Малинки"", XI-XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407414";
"1b9bd795-33db-11e6-b786-005056806bb6";"";"Селище Малинки (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407415";
"1e43aa8b-c293-11e6-b401-005056806bb6";"";"Селище Кокошкино 2 (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407416";
"2113a3aa-faf9-11e5-bb62-005056806bb6";"";"Поселение 2 (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407417";
"23e4eb21-33d8-11e6-b786-005056806bb6";"772241374620006";"""Курганный могильник Чертаново 9"", XI–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407418";
"2454d37f-33d9-11e6-b786-005056806bb6";"772341375280006";"""Курганный могильник Зюзино 5"", XII–ХIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407419";
"27dfb0a8-33de-11e6-b786-005056806bb6";"772241374670006";"""Курганный могильник Узкое 3"", XII–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407420";
"2a2c412b-c7e9-11e8-a167-005056806bb6";"";"Селище ""Черепово 1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407421";
"31337336-d577-11e5-87bd-005056806bb6";"";"Селище Сосенки 2 (конец XIV-XVIII вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407422";
"314802cc-e4ad-11e7-9c1f-005056806bb6";"772241356950006";"""Каменоломня ""Богородское 1"", XVII–XIX вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407423";
"3659a60d-4798-11e8-ac6f-005056806bb6";"";"Городище Красное";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407424";
"38723465-d574-11e5-87bd-005056806bb6";"";"Селище Секерино 1 (XV-XVI вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407425";
"3b91b21d-32d1-11e6-b786-005056806bb6";"772341375010006";"""Курганный могильник Узкое 4"", XII–ХIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407426";
"3e5ec956-1e2c-11e8-9e37-005056806bb6";"772241374180006";"""Селище ""Дьяково–2"", XI–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407427";
"3eecf46c-faf9-11e5-bb62-005056806bb6";"";"Поселение 3, XII-XIV вв. (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407428";
"3f904c5b-e493-11e7-9c1f-005056806bb6";"";"Селище ""Пучково 1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407429";
"40ed6091-ff9e-11e4-b126-005056806bb6";"772341374850006";"""Курганы ""Остафьево"", XII-XIII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407430";
"4ab944d2-1d6f-11e8-9e37-005056806bb6";"";"Культурный слой Садовой слободы, южная часть (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407431";
"50eb48e6-d570-11e5-87bd-005056806bb6";"";"Селище Спас-Купля 3 (XVII-XIX вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407432";
"583a5b88-c780-11e6-b401-005056806bb6";"";"Селище Кокошкино 1 (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407433";
"597a44ba-faf9-11e5-bb62-005056806bb6";"";"Поселение 1, XII-XIII вв. (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407434";
"59c0d87e-1d6e-11e8-9e37-005056806bb6";"";"Культурный слой Садовой слободы, северная часть (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407435";
"59e965a8-9a03-11e8-a167-005056806bb6";"";"Остатки подземных конструкций церкви Трех Святителей монастыря Всех Скорбящих радости. 1895-1910 гг. (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407436";
"5a5a5358-e49a-11e7-9c1f-005056806bb6";"";"Селище ""Троицк 5"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407437";
"60f09ec3-32f4-11e6-b786-005056806bb6";"";"Селище Аксиньино 3 (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407438";
"61f01d8a-c93f-11e3-af6a-005056806bb6";"";"Поселение ""РАНИС-1""";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407439";
"61f01d8e-c93f-11e3-af6a-005056806bb6";"";"Поселение ""Костишово-1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407440";
"61f01d92-c93f-11e3-af6a-005056806bb6";"";"Поселение ""Троицкое-6"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407441";
"61f01d98-c93f-11e3-af6a-005056806bb6";"";"Поселение ""Ознобишино-5"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407442";
"61f01db9-c93f-11e3-af6a-005056806bb6";"772241374640006";"""Курган ""Рязановский"", XI–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407443";
"61f01dc1-c93f-11e3-af6a-005056806bb6";"772341375260006";"""Курганная группа ""Конаково–2"", XII–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608407445";
"61f01dca-c93f-11e3-af6a-005056806bb6";"";"Поселение ""Песье-1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407446";
"61f01dd5-c93f-11e3-af6a-005056806bb6";"";"Селище ""Тупиково-1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407447";
"61f01ddf-c93f-11e3-af6a-005056806bb6";"";"Поселение ""Сатино-Татарское-7"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407448";
"61f01de7-c93f-11e3-af6a-005056806bb6";"";"Поселение ""Ознобишино-4"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407449";
"61f01dec-c93f-11e3-af6a-005056806bb6";"";"Поселение ""Щапово-6"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407450";
"61f01df0-c93f-11e3-af6a-005056806bb6";"";"Поселение ""Алхимово-2"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407451";
"61f01df2-c93f-11e3-af6a-005056806bb6";"";"Поселение ""Роднево-1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608407453";
